Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo 4- Suite,,,2018-07-25 11:50:46,2018-07-25 11:51:13,26.685s,INCOMPLETE
,,,,,,
Test Cases/Day 2_Traing/Demo 4,,demo,2018-07-25 11:50:46,2018-07-25 11:51:13,26.425s,FAILED
openBrowser,,,2018-07-25 11:50:47,2018-07-25 11:51:13,26.146s,FAILED
