Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Jenkin_Suite_Demo1,Chrome 67.0.3396.99,,2018-07-26 12:47:11,2018-07-26 12:47:52,40.784s,PASSED
,,,,,,
Test Cases/Jenkins/Jenkins_Demo1,Chrome 67.0.3396.99,,2018-07-26 12:47:11,2018-07-26 12:47:52,40.476s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:47:11,2018-07-26 12:47:37,26.062s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:47:37,2018-07-26 12:47:39,1.889s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:47:39,2018-07-26 12:47:44,5.117s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:47:44,2018-07-26 12:47:51,6.535s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 12:47:51,2018-07-26 12:47:52,0.599s,PASSED
